,User,Tweet
0,elonmusk,Twitter is All the News
1,elonmusk,Sìì! https://t.co/Gj1wHytJxk
2,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM
3,elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!"
4,elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them"
5,elonmusk,Twitter feels increasingly alive
6,elonmusk,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v
7,elonmusk,🪦🤖
8,elonmusk,Twitter is
9,elonmusk,FTX meltdown/ransack being tracked in real-time on Twitter
10,elonmusk,"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening"
11,elonmusk,Twitter HQ is great (this is a real pic) https://t.co/EiAXAF0CaE https://t.co/qjfOQCr533
12,elonmusk,Quite the day!
13,elonmusk,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio"
14,elonmusk,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!
15,elonmusk,I love when people complain about Twitter … on Twitter 🤣🤣
16,elonmusk,https://t.co/FxdcXa1I7i
17,elonmusk,Are you seeing far fewer bots/scams/spam?
18,elonmusk,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t."
19,elonmusk,Complaint hotline operator online! Please mention your complaints below.
20,elonmusk,"Twitter is the worst!
But also the best."
21,elonmusk,https://t.co/3t5ahItE5z
22,elonmusk,Twitter usage is at an all-time high lol
23,elonmusk,"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year"
24,elonmusk,"To independent-minded voters:

Shared power curbs the worst excesses of both parties, therefore I recommend voting for a Republican Congress, given that the Presidency is Democratic."
25,elonmusk,How times have changed https://t.co/gCxUkZ4kZC
26,elonmusk,"Twitter rules will evolve over time, but they’re currently the following: https://t.co/Ut1tXuefso"
27,elonmusk,"My commitment to free speech extends even to not banning the account following my plane, even though that is a direct personal safety risk"
28,elonmusk,Twitter needs to become by far the most accurate source of information about the world. That’s our mission.
29,elonmusk,Widespread verification will democratize journalism &amp; empower the voice of the people
30,elonmusk,"Going forward, any Twitter handles engaging in impersonation without clearly specifying “parody” will be permanently suspended"
31,elonmusk,Search within Twitter reminds me of Infoseek in ‘98! That will also get a lot better pronto.
32,elonmusk,"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots"
33,elonmusk,This rocks https://t.co/sB1sL0Hdrv
34,elonmusk,https://t.co/4UQlClBSct
35,elonmusk,"Trash me all day, but it’ll cost $8"
36,elonmusk,⚡️⚡️⚡️ Power to the People ⚡️⚡️⚡️
37,elonmusk,"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.

Everyone exited was offered 3 months of severance, which is 50% more than legally required."
38,elonmusk,"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged.

In fact, we have actually seen hateful speech at times this week decline *below* our prior norms, contrary to what you may read in the press."
39,elonmusk,Excellent summary of Twitter’s Trust &amp; Safety from the head of the team https://t.co/sJ1MBf9Mub
40,elonmusk,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America."
41,elonmusk,Tiny talk is talk so small it feels like it’s coming from your own mind
42,elonmusk,Why is small talk even legal!?
43,elonmusk,A neuron doesn’t realize it’s a neuron
44,elonmusk,"Because it consists of billions of bidirectional interactions per day, Twitter can be thought of as a collective, cybernetic super-intelligence"
45,elonmusk,🎯 https://t.co/W55sUbxYed
46,elonmusk,🤔 https://t.co/XuJdfMTTi1
47,elonmusk,https://t.co/BYOBGBHOUA
48,elonmusk,Advertisers should support:
49,elonmusk,https://t.co/kGncG7Hs3M
50,elonmusk,Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now.
51,elonmusk,Being attacked by both right &amp; left simultaneously is a good sign
52,elonmusk,you get what you pay for
53,elonmusk,Twitter speaks to the inner masochist in all of us
54,elonmusk,"To all complainers, please continue complaining, but it will cost $8"
55,elonmusk,https://t.co/icg6e35LOe
56,elonmusk,"Twitter’s current lords &amp; peasants system for who has or doesn’t have a blue checkmark is bullshit. 

Power to the people! Blue for $8/month."
57,elonmusk,Sonic BOOMS!! https://t.co/6n5OxFc0Dy
58,elonmusk,Falcon Heavy launch in ~30 mins https://t.co/Bluay8q80F
59,elonmusk,😉 https://t.co/eaIYaDRBnu
60,elonmusk,Halloween with my Mom https://t.co/xOAgNeeiNN
61,elonmusk,"If I had a dollar for every time someone asked me if Trump is coming back on this platform, Twitter would be minting money!"
62,elonmusk,Bring back Vine?
63,elonmusk,"Wachtell &amp; Twitter board deliberately hid this evidence from the court. Stay tuned, more to come … https://t.co/CifaNvtRtt"
64,elonmusk,This is fake – I did *not* tweet out a link to The New York Times! https://t.co/d6V6m5ATW2
65,elonmusk,"Just received this email from Twitter. This is an actual, real email that was autogenerated 🤣🤣 https://t.co/7DQp4sNINX"
66,elonmusk,"Finally, the truth that carbs are amazing can be said on this platform! 
#FreeSpeech"
67,elonmusk,Fresh baked bread &amp; pastries are some of the great joys of life
68,elonmusk,"To be super clear, we have not yet made any changes to Twitter’s content moderation policies https://t.co/k4guTsXOIu"
69,elonmusk,Ligma Johnson had it coming 🍆 💦 https://t.co/CgjrOV5eM2
70,elonmusk,Comedy is now legal on Twitter
71,elonmusk,"Twitter will be forming a content moderation council with widely diverse viewpoints. 

No major content decisions or account reinstatements will happen before that council convenes."
72,elonmusk,🎶 let the good times roll 🎶
73,elonmusk,the bird is freed
74,elonmusk,Falcon rockets to orbit as seen from LA https://t.co/r8L2SbLC3p
75,elonmusk,Dear Twitter Advertisers https://t.co/GMwHmInPAS
76,elonmusk,Entering Twitter HQ – let that sink in! https://t.co/D68z4K2wq7
77,elonmusk,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias
78,elonmusk,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”"
79,elonmusk,Works on any moving land object https://t.co/Xu4qKJW4D9
80,elonmusk,What lesson took you the longest to unlearn?
81,elonmusk,διαλεκτική
82,elonmusk,Think about who might have decided “The Current Thing” before accepting it
83,elonmusk,"Who decides “The Current Thing?”
Real question. I don’t know."
84,elonmusk,Neuralink show &amp; tell now on Nov 30
85,elonmusk,"i know
|nothing|
is forever"
86,elonmusk,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible https://t.co/Htis0LfRzV"
87,elonmusk,https://t.co/WqGm6InNTp
88,elonmusk,Congrats to @SpaceX team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.
89,elonmusk,"I will not let you down, no matter what it takes"
90,elonmusk,Vox Populi Vox Dei
91,elonmusk,Internet in airplanes will feel same as if you were accessing Internet at home! https://t.co/Mfl2ixYnJH
92,elonmusk,"28,700 bottles of exquisite Burnt Hair perfume already sold! 

Only 1,300 left of this unique, limited edition, collector’s item. https://t.co/Gh2Zg7B5qX"
93,elonmusk,"Drone War I
https://t.co/erVME0CbbN"
94,elonmusk,Exceptionally well-said https://t.co/UT8fXG0MeF
95,elonmusk,Are there others that want to donate Starlinks to places in need? https://t.co/M0ASMenMRD
96,elonmusk,Deus X Machina
97,elonmusk,So true https://t.co/PwmxUVU2Fc
98,elonmusk,Fancy a game of meme tennis? https://t.co/d9tqIlg7nB
99,elonmusk,Did you hear about the dyslexic KBG agent – it’s pot secret!
100,elonmusk,"Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.

“Das Baby” – Hijinks on the high seas! https://t.co/FieRmSthp2"
101,elonmusk,"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free"
102,elonmusk,Yay!! https://t.co/lviRHDJZRB
103,elonmusk,"20,000!!"
104,elonmusk,https://t.co/WLVh5zBiO5
105,elonmusk,"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere. https://t.co/gnH0YPPVOS"
106,elonmusk,"Please buy my perfume, so I can buy Twitter"
107,elonmusk,"10,000 bottles of Burnt Hair sold!"
108,elonmusk,Over 5000 bottles of Burnt Hair sold!
109,elonmusk,https://t.co/WDtHXqgUPx
110,elonmusk,"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?"
111,elonmusk,"The finest fragrance on Earth!
https://t.co/ohjWxNX5ZC https://t.co/0J1lmREOBS"
112,elonmusk,Maybe one day we can finally achieve https://t.co/jKBu2wJIDA
113,elonmusk,https://t.co/Q31B9x4RCH
114,elonmusk,Coming soon from The @BoringCompany https://t.co/cNIbFRRXyt
115,elonmusk,An eye for an eye leaves everyone blind https://t.co/pQztPvR4uI
116,elonmusk,https://t.co/VvGa39qAyE
117,elonmusk,"In case you missed Tesla AI Day 2022
https://t.co/Sbu0peXpY1"
118,elonmusk,SpaceX Dragon docking with @Space_Station (extended video) https://t.co/AFBDKHddgI
119,elonmusk,Excited to announce start of production of Tesla Semi Truck with deliveries to @Pepsi on Dec 1st! https://t.co/gq0l73iGRW
120,elonmusk,Starlink view of 2nd stage deorbit burn https://t.co/kbLv95bAK7
121,elonmusk,War is the ultimate Supreme Court
122,elonmusk,"Another batch of Starlinks in orbit, 7 hours after the astronaut launch https://t.co/mQshEY16RP"
123,elonmusk,"Buying Twitter is an accelerant to creating X, the everything app"
124,elonmusk,Let’s try this then: the will of the people who live in the Donbas &amp; Crimea should decide whether they’re part of Russia or Ukraine
125,elonmusk,"Ukraine-Russia Peace:

- Redo elections of annexed regions under UN supervision. Russia leaves if that is will of the people.

- Crimea formally part of Russia, as it has been since 1783 (until Khrushchev’s mistake).

- Water supply to Crimea assured.

- Ukraine remains neutral."
126,elonmusk,https://t.co/cGHSTdb9gv
127,elonmusk,https://t.co/inO8f1q38o
128,elonmusk,Prufrock II emerging from the ground https://t.co/csamCrmAZa
129,elonmusk,Do not let ancient grudge break to new mutiny
130,elonmusk,https://t.co/HdUl0etoao
131,elonmusk,"Recording of Tesla AI Day 2022 
https://t.co/7LR51x7pXa"
132,elonmusk,🤖 🖤 https://t.co/eNhVVztXHM
133,elonmusk,https://t.co/PHa7kKhFoT
134,elonmusk,"Naturally, there will be a catgirl version of our Optimus robot"
135,elonmusk,"The point of AI Day is to show the immense depth &amp; breadth of Tesla in AI, compute hardware &amp; robotics"
136,elonmusk,Webcast link https://t.co/TrtjKph4Mk
137,elonmusk,Tesla AI Day 2022 starts at precisely 6:15pm California time
138,elonmusk,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy"
139,elonmusk,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical https://t.co/BcxAEv6qJd"
140,elonmusk,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT
141,elonmusk,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq
142,elonmusk,https://t.co/mEBAgBCCkj
143,elonmusk,Make “hair on fire” not just a metaphor
144,elonmusk,https://t.co/1hbMzueALi
145,elonmusk,“Burnt Hair” – Scent for Men by Singed
146,elonmusk,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha."
147,elonmusk,https://t.co/RcKPRe8eiM
148,elonmusk,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2"
149,elonmusk,https://t.co/2wpp3F31jA
150,elonmusk,Starlink now over 1M user terminals manufactured
151,elonmusk,Starlink connecting schools in the Amazon https://t.co/Xy70D0sk8N
152,elonmusk,"FSD Beta 10.69.2.1 looks good, extending to 160k owners in US &amp; Canada"
153,elonmusk,"Baltasar Gracián, Oráculo Manual y Arte de Prudencia"
154,elonmusk,7 engine static fire https://t.co/sOm8Jx8rJq
155,elonmusk,"starry, starry night 
paint your palette
blue and gray https://t.co/iUm9pzfDGc"
156,elonmusk,"Starlink is now active on all continents, including Antarctica 
https://t.co/Q1VvqV5G0i"
157,elonmusk,https://t.co/VDcpkjm56j
158,elonmusk,Starlink is meant for peaceful use only
159,elonmusk,"Salted butter is amazing, but should be stored at room temperature https://t.co/8RSr340JB8"
160,elonmusk,https://t.co/xMoL9wdXh6
161,elonmusk,"Blow the whistle!
https://t.co/RQLDti0ULZ"
162,elonmusk,https://t.co/qjjDVyOszp
163,elonmusk,My tweets are being suppressed!
164,elonmusk,Anyone know who the secret clients are? Let’s out them on Twitter rn haha. https://t.co/g8D1mQZLRv
165,elonmusk,Rome show is underappreciated https://t.co/oqd3B6O5Mw
166,elonmusk,🍿
167,elonmusk,Take a moment to … https://t.co/R3hK5u4UW6
168,elonmusk,Won’t be long before we view gasoline cars the same way we view steam engines today
169,elonmusk,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians."
170,elonmusk,Falcon arching to orbit https://t.co/m7grug8FV9
171,elonmusk,No obvious limit to rocket reflight so far https://t.co/rBrcyjxJea
172,elonmusk,Take Materials Science 101. You won’t regret it.
173,elonmusk,A major Fed rate hike risks deflation
174,elonmusk,Tesla North America aiming for &gt;50% same hour service
175,elonmusk,And remember 💕 https://t.co/unsJK0CjM9
176,elonmusk,“That’s not punny!”
177,elonmusk,Order a Tesla Powerwall battery for blackout protection! https://t.co/tEE4LDBD78
178,elonmusk,Tolkien is turning in his grave
179,elonmusk,https://t.co/L8gLdGE74c
180,elonmusk,"Sure sounds higher than 5%!
 https://t.co/Va7TxxzoI6"
181,elonmusk,Now launching every ~5 days https://t.co/KJYG5CKPYx
182,elonmusk,Spent the day walking entire Giga Berlin production line – team is doing excellent work!
183,elonmusk,Kickass Internet connection coming Royal Caribbean ships soon! https://t.co/8qJRiUuNah
184,elonmusk,This will happen again – just a matter of time https://t.co/HeyZhZbAih
185,elonmusk,Godspeed Artemis! https://t.co/8rZSQPamBf
186,elonmusk,"From time to time, I will share some things that seem to be working for me, in case you find it helpful"
187,elonmusk,"On advice of a good friend, I’ve been fasting periodically &amp; feel healthier"
188,elonmusk,Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster &amp; fairing reusable! https://t.co/vgHsmaSj7d
189,elonmusk,Countries should be increasing nuclear power generation! It is insane from a national security standpoint &amp; bad for the environment to shut them down.
190,elonmusk,Population collapse due to low birth rates is a much bigger risk to civilization than global warming
191,elonmusk,"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide"
192,elonmusk,Livestream of big news in about an hour https://t.co/LSMIRYBxHH
193,elonmusk,This is something special https://t.co/LSMIRYT8zf
194,elonmusk,The course of civilization is not always upward https://t.co/8mr7pFWcnI
195,elonmusk,Mechazilla loads Starship on launchpad https://t.co/LfkfjpAcZj
196,elonmusk,https://t.co/KsWiazActx
197,elonmusk,Neuralink progress update show &amp; tell on October 31 st (Halloween)
198,elonmusk,"2 main goals this year: 

- Starship to orbit
- FSD wide release

Many other things, of course, but those are the 2 giant kahunas. Will require insane work by many super talented people, but, if anyone can do it, they can. 

It is an honor to work with such awesome human beings."
199,elonmusk,👿 https://t.co/hdzRzphcii
200,elonmusk,"After wide release of FSD Beta 10.69.2, price of FSD will rise to $15k in North America on September 5th. 

Current price will be honored for orders made before Sept 5th, but delivered later."
201,elonmusk,"FSD Beta 10.69 started rolling out to Tesla owners last night. This build is a big step forward!

10.69.1 probably end of week with wider release.

1069.2 in a few weeks should be good enough to provide to all FSD Beta participants."
202,elonmusk,"Nice letter from Bill Nix, who would’ve been my prof at Stanford if I hadn’t put grad studies on (permanent) deferment https://t.co/ioq0mGwN7K"
203,elonmusk,Still so grateful 🥹 https://t.co/EhdyXw4fqN
204,elonmusk,https://t.co/KBjnfkU4ia
205,elonmusk,🎶 This Magic Moment 🎶
206,elonmusk,Being a Mom is just as important as any career
207,elonmusk,Highly Recommend https://t.co/nrDZ4gJqEE
208,elonmusk,Standup is my side-hustle
209,elonmusk,"To be clear, I support the left half of the Republican Party and the right half of the Democratic Party!"
210,elonmusk,Congrats Giga Shanghai on making millionth car! Total Teslas made now over 3M. https://t.co/2Aee6slCuv
211,elonmusk,Just Read The Instructions https://t.co/BWYzSEE0Q8
212,elonmusk,Adding the 13 inner engines https://t.co/ooOFEGl0Hr
213,elonmusk,Another orbital plane of polar satellites https://t.co/UDl6wStLuT
214,elonmusk,This will be Mars one day https://t.co/nf4hML8dKx
215,elonmusk,but have u seen my sex tape https://t.co/aCBqIRz4sH
216,elonmusk,Starship B7 static fire https://t.co/taBpsd9LSV
217,elonmusk,Fate 🖤 Irony https://t.co/RHZ9BEws7k
218,elonmusk,deep thot https://t.co/0EcPd30QAs
219,elonmusk,https://t.co/UfZdHZvtAA
220,elonmusk,8 years ago https://t.co/HPK5R5UMS6
221,elonmusk,Wrote this 6 years ago https://t.co/r9GdXpCtZU
222,elonmusk,https://t.co/67gqPGe7Ph
223,elonmusk,Quite the day https://t.co/UYQZwCvgk7
224,elonmusk,https://t.co/1duQL9NU2E
225,elonmusk,FSD Beta 10.69 drops on 8/20
226,elonmusk,Saxon James Musk https://t.co/d7FKw4iQIU
227,elonmusk,Less than 5% of Twitter daily users are fake/spam
228,elonmusk,Moving rocket to launch pad https://t.co/nPVq1tyLoy
229,elonmusk,Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines
230,elonmusk,Full Send Podcast https://t.co/01FmxYRrVr
231,elonmusk,Thank goodness for Senator Manchin
232,elonmusk,The ratio of digital to biological compute is growing fast. Worth tracking.
233,elonmusk,Just came across this pretty good CNBC piece on SpaceX &amp; Starship https://t.co/RELYzC40M9
234,elonmusk,Worth reading. This is a close match for my philosophy. https://t.co/cWEM6QBobY
235,elonmusk,Still time to vote! https://t.co/ZbFWv0pkgG
236,elonmusk,https://t.co/2Ck4z96NFM
237,elonmusk,Thanksgiving last year after watching one too many episodes of Vikings https://t.co/ra7lijKRhD
238,elonmusk,"If our reality is actually an alien soap opera, our ratings would be 🚀💥💫"
239,elonmusk,Maybe free some people in jail for weed here too? https://t.co/AYo0ZC79lZ
240,elonmusk,Off to the Races set to Harley Quinn https://t.co/79XaBOxAKk
241,elonmusk,"Some people are no nonsense, but, personally, I like a little nonsense"
242,elonmusk,Tesla + Twitter -&gt; Twizzler
243,elonmusk,Interaction with almost all twitter accounts seem to be much lower in recent weeks &amp; days. Accurate?
244,elonmusk,Saxon https://t.co/UTh4uqIEYP
245,elonmusk,Friend made this for me 2 years ago https://t.co/XzlmpmPNT7
246,elonmusk,Try voice command “open butthole” on your Tesla
247,elonmusk,https://t.co/Uo30yDO3tJ
248,elonmusk,Heatwave in Shortville 🥵
249,elonmusk,"I can’t say for sure that Starship will reach escape velocity, but my hubris certainly has"
250,elonmusk,Inflation might be trending down
251,elonmusk,Much harder to make friends than enemies. My skill at the latter is improving.
252,elonmusk,The media is a click-seeking machine dressed up as a truth-seeking machine
253,elonmusk,"A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to become a multiplanet, then interstellar, species to see what’s out there."
254,elonmusk,"The amount of attention on me has gone supernova, which super sucks. Unfortunately, even trivial articles about me generate a lot of clicks :(

Will try my best to be heads down focused on doing useful things for civilization."
255,elonmusk,All Teslas come with a free karaoke app https://t.co/mZa3WmhyPL
256,elonmusk,"Single-piece casting reduces weight, greatly simplifies factory, increases ride quality &amp; reduces road noise https://t.co/hJw4KLpfDg"
257,elonmusk,What video games have you enjoyed most over past year or two?
258,elonmusk,"Movie idea: Boss Baby meets Das Boot
Das Baby – “Hijinks on the High Seas!”"
259,elonmusk,"The dark origin of the lemming mass suicide myth …
https://t.co/wn7vg2mUjr"
260,elonmusk,From SJM https://t.co/t6xAiMyz9m
261,elonmusk,https://t.co/TpGbs06lnT
262,elonmusk,Gehalt und Gestalt
263,elonmusk,Excited to work with Tesla Service to enable same-hour service as often as possible! Applying Formula 1 pit crew techniques to Teslas.
264,elonmusk,"Starlink now available in 36 countries!
https://t.co/nH1zPfd2Om"
265,elonmusk,Congrats to SpaceX team on record number of launches! https://t.co/nb8ozrbqZ5
266,elonmusk,Optimus Primed https://t.co/DMIPaIYevN
267,elonmusk,🥇 https://t.co/VlSpfXZdp9
268,elonmusk,One of the best features of Model X https://t.co/zUTcSD7fiz
269,elonmusk,Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!
270,elonmusk,Please vote your shares with Tesla! https://t.co/ZbFWv0pkgG
271,elonmusk,https://t.co/8IYBfjFact
272,elonmusk,"Tesla is to protect life on Earth,
SpaceX to extend life beyond."
273,elonmusk,"Mars may be a fixer upper of a planet, but it has great potential!"
274,elonmusk,https://t.co/ozWk7GxcEu
275,elonmusk,Dragon launching in 2 mins https://t.co/DBQDCbBy6B
276,elonmusk,A+ for cinematography https://t.co/anGjQKbq5W
277,elonmusk,Starship launch site tonight https://t.co/Len70RGCNf
278,elonmusk,Excited about @NASAWebb potential!
279,elonmusk,Oh the irony lol
280,elonmusk,"Tesla’s automatic cabin overheat protection should make a real difference with record heatwaves.

Ability to adjust activation temperature coming with next software release."
281,elonmusk,https://t.co/mvVUR4doqB
282,elonmusk,"For improved quality of sleep, raise head of your bed by about 3” or 5cm and don’t eat 3 hours before bedtime"
283,elonmusk,These polar launches will enable complete coverage of Earth (where approved by local government) https://t.co/0ssHobwdp3
284,elonmusk,https://t.co/d5tSnoDs5s
285,elonmusk,https://t.co/JcLMee61wj
286,elonmusk,Super fired up for future product development with our awesome Tesla team! Such an honor to work with them.
287,elonmusk,Starlink for boats! https://t.co/BQujU8Ngna
288,elonmusk,Maybe Tesla should make a highly configurable Robovan for people &amp; cargo?
289,elonmusk,I hope you have big families and congrats to those who already do!
290,elonmusk,Population of Mars is still zero people!
291,elonmusk,"Doing my best to help the underpopulation crisis. 

A collapsing birth rate is the biggest danger civilization faces by far."
292,elonmusk,"Highly recommend Revolutions by Mike Duncan, especially Season 10 https://t.co/LoJXYL2HTU"
293,elonmusk,Humanity will reach Mars in your lifetime
294,elonmusk,Flatulence Earther
295,elonmusk,A veritable “sock aficionado”
296,elonmusk,I must confess to a penchant for creative socks
297,elonmusk,Elvis is just Elvish without an h
298,elonmusk,Happy July 4th! https://t.co/KYN2XO712Z
299,elonmusk,https://t.co/sUrsfucQ2F
